Degree Name,Guaranteed ATAR score,Prerequisite,Assumed knowledge,Mode,Campus,Study as,Duration,Start date,Degree URL
Bachelor of Arts,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-arts/dom/
Bachelor of Arts majoring in Aboriginal Studies,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-arts-aboriginal-studies/dom/
Bachelor of Arts majoring in Anthropology,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-arts-anthropology/dom/
Bachelor of Arts majoring in Archaeology and Classical Studies,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-arts-archaeology-and-classical-studies/dom/
Bachelor of Arts majoring in Art History and Visual Culture,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-arts-art-history-and-visual-culture/dom/
Bachelor of Arts majoring in Chinese Studies,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,February,https://adelaideuni.edu.au/study/degrees/bachelor-of-arts-chinese-studies/dom/
Bachelor of Arts majoring in Creative Writing,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-arts-creative-writing/dom/
Bachelor of Arts majoring in Cultural Studies,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-arts-cultural-studies/dom/
Bachelor of Arts majoring in English Literature,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-arts-english-literature/dom/
Bachelor of Arts majoring in Environmental Management,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-arts-environmental-management/dom/
Bachelor of Arts majoring in French Studies,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,February,https://adelaideuni.edu.au/study/degrees/bachelor-of-arts-french-studies/dom/
Bachelor of Arts majoring in Gender and Sexuality Studies,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-arts-gender-and-sexuality-studies/dom/
Bachelor of Arts majoring in Geography,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-arts-geography/dom/
Bachelor of Arts majoring in German Studies,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,February,https://adelaideuni.edu.au/study/degrees/bachelor-of-arts-german-studies/dom/
Bachelor of Arts majoring in History,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-arts-history/dom/
Bachelor of Arts majoring in International Development,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-arts-international-development/dom/
Bachelor of Arts majoring in International Security,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-arts-international-security/dom/
Bachelor of Arts majoring in Italian Studies,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,February,https://adelaideuni.edu.au/study/degrees/bachelor-of-arts-italian-studies/dom/
