Degree Name,Guaranteed ATAR score,Prerequisite,Assumed knowledge,Mode,Campus,Study as,Duration,Start date,Degree URL
Bachelor of Arts majoring in Gender and Sexuality Studies,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-arts-gender-and-sexuality-studies/dom/
Bachelor of Arts majoring in Sociology,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-arts-sociology/dom/
Bachelor of Biomedical and Health Sciences majoring in Public Health,80.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-biomedical-and-health-sciences-public-health/dom/
"Bachelor of Laws (Honours), Bachelor of Psychology",,None,None,On Campus,"Adelaide City, Magill",Full time or part time,5 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-laws-honours-bachelor-of-psychology/dom/
Bachelor of Psychological Sciences and Sociology,,None,None,100% Online,,Full time or part time,3 year(s) full-time,"January, April, June, September",https://adelaideuni.edu.au/study/degrees/online/bachelor-of-psychological-sciences-and-sociology/dom/
Bachelor of Psychology,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-psychology/dom/
Bachelor of Psychology,,None,None,100% Online,,Full time or part time,3 year(s) full-time,"January, April, June, September",https://adelaideuni.edu.au/study/degrees/online/bachelor-of-psychology/dom/
Bachelor of Psychology (Honours),,None,None,On Campus,"Adelaide City, Magill",Full time or part time,4 year(s) full-time,February,https://adelaideuni.edu.au/study/degrees/bachelor-of-psychology-honours/dom/
Bachelor of Psychology (Honours) majoring in Cognitive Neuroscience,,None,None,On Campus,"Adelaide City, Magill",Full time or part time,4 year(s) full-time,February,https://adelaideuni.edu.au/study/degrees/bachelor-of-psychology-honours-cognitive-neuroscience/dom/
Bachelor of Psychology (Honours) majoring in Counselling and Interpersonal Skills,,None,None,On Campus,"Adelaide City, Magill",Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-psychology-honours-counselling-and-interpersonal-skills/dom/
Bachelor of Psychology majoring in Cognitive Neuroscience,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-psychology-cognitive-neuroscience/dom/
Bachelor of Psychology majoring in Counselling and Interpersonal Skills,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-psychology-counselling-and-interpersonal-skills/dom/
Bachelor of Public Health,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-public-health/dom/
Bachelor of Public Health,,None,None,100% Online,,Full time or part time,3 year(s) full-time,"January, April, June, September",https://adelaideuni.edu.au/study/degrees/online/bachelor-of-public-health/dom/
Bachelor of Social Science majoring in Human Services,70.0,None,None,On Campus,"Magill, Mount Gambier, Whyalla",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-social-science-human-services/dom/
Bachelor of Social Work,70.0,None,None,On Campus,"Magill, Mount Gambier, Whyalla",Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-social-work/dom/
Bachelor of Social Work (Honours),80.0,None,None,On Campus,"Magill, Adelaide City",Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-social-work-honours/dom/
