Degree Name,Recommended Stage 2 Subjects
Bachelor of Accounting,"English, Mathematical Methods, Specialist Mathematics, Accounting"
Bachelor of Agricultural Sciences,"Chemistry, Mathematical Methods, Agricultural Production, Agricultural Systems"
Bachelor of Architectural Design,"English, Mathematical Methods, Physics, Visual Arts — Design"
Bachelor of Architectural Design majoring in Urban Planning,"English, Mathematical Methods, Physics, Visual Arts — Design"
Bachelor of Arts,"English Literary Studies, Modern History, Society and Culture, Philosophy"
Bachelor of Arts majoring in Aboriginal Studies,"English Literary Studies, Modern History, Society and Culture, Aboriginal Studies"
Bachelor of Arts majoring in Anthropology,"English Literary Studies, Modern History, Society and Culture, Philosophy"
Bachelor of Arts majoring in Archaeology and Classical Studies,"English Literary Studies, Modern History, Ancient Studies, Philosophy"
Bachelor of Arts majoring in Art History and Visual Culture,"English Literary Studies, Modern History, Society and Culture, Visual Arts — Art"
Bachelor of Arts majoring in Chinese Studies,"English Literary Studies, Modern History, Society and Culture, Chinese (continuers)"
Bachelor of Arts majoring in Creative Writing,"English Literary Studies, Modern History, Media Studies, Philosophy"
Bachelor of Arts majoring in Cultural Studies,"English Literary Studies, Modern History, Society and Culture, Media Studies"
Bachelor of Arts majoring in English Literature,"English Literary Studies, Modern History, Society and Culture, Philosophy"
Bachelor of Arts majoring in Environmental Management,"English Literary Studies, Geography, Society and Culture, Earth and Environmental Science"
Bachelor of Arts majoring in French Studies,"English Literary Studies, Modern History, Society and Culture, French (continuers)"
Bachelor of Arts majoring in Gender and Sexuality Studies,"English Literary Studies, Modern History, Society and Culture, Women’s Studies"
Bachelor of Arts majoring in Geography,"English Literary Studies, Geography, Society and Culture, Earth and Environmental Science"
Bachelor of Arts majoring in German Studies,"English Literary Studies, Modern History, Society and Culture, German (continuers)"
Bachelor of Arts majoring in History,"English Literary Studies, Modern History, Ancient Studies, Philosophy"
Bachelor of Arts majoring in International Development,"Economics, Modern History, Society and Culture, Geography"
Bachelor of Arts majoring in International Security,"English Literary Studies, Modern History, Legal Studies, Politics, Power and People"
Bachelor of Arts majoring in Italian Studies,"English Literary Studies, Modern History, Society and Culture, Italian (continuers)"
Bachelor of Arts majoring in Japanese Studies,"English Literary Studies, Modern History, Society and Culture, Japanese (continuers)"
Bachelor of Arts majoring in Linguistics and Applied Linguistics,"English Literary Studies, Modern History, Society and Culture, Philosophy"
Bachelor of Arts majoring in Philosophy,"English Literary Studies, Modern History, Society and Culture, Philosophy"
Bachelor of Arts majoring in Politics,"English Literary Studies, Modern History, Legal Studies, Politics, Power, and People"
Bachelor of Arts majoring in Population and Migration Studies,"English Literary Studies, Modern History, Society and Culture, Geography"
Bachelor of Arts majoring in Screen Studies,"English Literary Studies, Media Studies, Society and Culture, Creative Arts"
Bachelor of Arts majoring in Social Research and Policy Analysis,"English Literary Studies, Modern History, Society and Culture, Economics"
Bachelor of Arts majoring in Sociology,"English Literary Studies, Modern History, Society and Culture, Philosophy"
Bachelor of Arts majoring in Spanish Studies,"English Literary Studies, Modern History, Society and Culture, Spanish (continuers)"
Bachelor of Aviation majoring in Management,"English, Mathematics Methods, Business Inovation, Economics"
Bachelor of Aviation majoring in Pilot,"English, Mathematics Methods, Physics, Geography"
Bachelor of Biomedical and Health Sciences,"English, Biology, Chemistry, Mathematical Methods"
Bachelor of Biomedical and Health Sciences majoring in Biochemistry,"English, Biology, Chemistry, Mathematical Methods"
Bachelor of Biomedical and Health Sciences majoring in Clinical Trials,"English, Biology, Chemistry, Mathematical Methods"
Bachelor of Biomedical and Health Sciences majoring in Genetics,"English, Biology, Chemistry, Mathematical Methods"
Bachelor of Biomedical and Health Sciences majoring in Medical Science,"English, Biology, Chemistry, Mathematical Methods"
Bachelor of Biomedical and Health Sciences majoring in Microbiology and Immunology,"English, Biology, Chemistry, Mathematical Methods"
Bachelor of Biomedical and Health Sciences majoring in Neuroscience,"English, Biology, Chemistry, Mathematical Methods"
Bachelor of Biomedical and Health Sciences majoring in Public Health,"English, Biology, Chemistry, Mathematical Methods"
