Degree Name,Guaranteed ATAR score,Prerequisite,Assumed knowledge,Mode,Campus,Study as,Duration,Start date,Degree URL
Bachelor of Clinical Exercise Physiology (Honours),90.0,None,None,On Campus,Adelaide City,Full time or part time,4 year(s) full-time,February,https://adelaideuni.edu.au/study/degrees/bachelor-of-clinical-exercise-physiology-honours/dom/
Bachelor of Exercise and Sport Science,80.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-exercise-and-sport-science/dom/
Bachelor of Human Movement majoring in Human Nutrition,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,February,https://adelaideuni.edu.au/study/degrees/bachelor-of-human-movement-human-nutrition/dom/
Bachelor of Human Movement majoring in Secondary Health and Physical Education,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,February,https://adelaideuni.edu.au/study/degrees/bachelor-of-human-movement-secondary-health-and-physical-education/dom/
Bachelor of Human Movement majoring in Sport Coaching,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,February,https://adelaideuni.edu.au/study/degrees/bachelor-of-human-movement-sport-coaching/dom/
Bachelor of Medical Radiation Science (Honours) majoring in Medical Imaging,,None,None,On Campus,Adelaide City,Full time or part time,4 year(s) full-time,February,https://adelaideuni.edu.au/study/degrees/bachelor-of-medical-radiation-science-honours-medical-imaging/dom/
Bachelor of Medical Radiation Science (Honours) majoring in Nuclear Medicine,,None,None,On Campus,Adelaide City,Full time or part time,4 year(s) full-time,February,https://adelaideuni.edu.au/study/degrees/bachelor-of-medical-radiation-science-honours-nuclear-medicine/dom/
Bachelor of Medical Radiation Science (Honours) majoring in Radiation Therapy,,None,None,On Campus,Adelaide City,Full time or part time,4 year(s) full-time,February,https://adelaideuni.edu.au/study/degrees/bachelor-of-medical-radiation-science-honours-radiation-therapy/dom/
Bachelor of Occupational Therapy (Honours),,None,None,On Campus,"Adelaide City, Whyalla",Full time or part time,4 year(s) full-time,February,https://adelaideuni.edu.au/study/degrees/bachelor-of-occupational-therapy-honours/dom/
Bachelor of Pharmaceutical Science,80.0,"SACE Stage 2 Biology, Chemistry or Physics (or equivalent)",None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-pharmaceutical-science/dom/
Bachelor of Pharmacy (Honours),90.0,"SACE Stage 2 Biology, Chemistry or Physics (or equivalent)",None,On Campus,Adelaide City,Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-pharmacy-honours/dom/
Bachelor of Physiotherapy (Honours),,None,SACE Stage 2 Biology and Physics (or equivalent),On Campus,"Adelaide City, Whyalla",Full time or part time,4 year(s) full-time,February,https://adelaideuni.edu.au/study/degrees/bachelor-of-physiotherapy-honours/dom/
Bachelor of Podiatry (Honours),90.0,None,SACE Stage 2 Biology or equivalent,On Campus,Adelaide City,Full time or part time,4 year(s) full-time,February,https://adelaideuni.edu.au/study/degrees/bachelor-of-podiatry-honours/dom/
Bachelor of Speech Pathology (Honours),,None,None,On Campus,Adelaide City,Full time or part time,4 year(s) full-time,February,https://adelaideuni.edu.au/study/degrees/bachelor-of-speech-pathology-honours/dom/
