Degree Name,Guaranteed ATAR score,Prerequisite,Assumed knowledge,Mode,Campus,Study as,Duration,Start date,Degree URL
Bachelor of Accounting,,None,None,100% Online,,Full time or part time,3 year(s) full-time,"January, April, June, September",https://adelaideuni.edu.au/study/degrees/online/bachelor-of-accounting/dom/
Bachelor of Business,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-business/dom/
"Bachelor of Business (Economics, Finance and Trade)",,None,None,100% Online,,Full time or part time,3 year(s) full-time,"January, April, June, September",https://adelaideuni.edu.au/study/degrees/online/bachelor-of-business-economics-finance-and-trade/dom/
Bachelor of Business (Financial Planning),,None,None,100% Online,,Full time or part time,3 year(s) full-time,"January, April, June, September",https://adelaideuni.edu.au/study/degrees/online/bachelor-of-business-financial-planning/dom/
Bachelor of Business (Human Resource Management),,None,None,100% Online,,Full time or part time,3 year(s) full-time,"January, April, June, September",https://adelaideuni.edu.au/study/degrees/online/bachelor-of-business-human-resource-management/dom/
Bachelor of Business (Management),,None,None,100% Online,,Full time or part time,3 year(s) full-time,"January, April, June, September",https://adelaideuni.edu.au/study/degrees/online/bachelor-of-business-management/dom/
Bachelor of Business (Marketing),,None,None,100% Online,,Full time or part time,3 year(s) full-time,"January, April, June, September",https://adelaideuni.edu.au/study/degrees/online/bachelor-of-business-marketing/dom/
"Bachelor of Business (Tourism, Events and Hospitality Management)",,None,None,100% Online,,Full time or part time,3 year(s) full-time,"January, April, June, September",https://adelaideuni.edu.au/study/degrees/online/bachelor-of-business-tourism-events-and-hospitality-management/dom/
Bachelor of Business majoring in Digital Business,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-business-digital-business/dom/
Bachelor of Business majoring in Human Resource Management,,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-business-human-resource-management/dom/
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-business-innovation-entrepreneurship-and-strategy/dom/
Bachelor of Business majoring in International Business,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-business-international-business/dom/
Bachelor of Business majoring in Management,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-business-management/dom/
Bachelor of Business majoring in Marketing,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-business-marketing/dom/
Bachelor of Business majoring in Marketing and Communication,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-business-marketing-and-communication/dom/
Bachelor of Business majoring in Marketing and Design,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-business-marketing-and-design/dom/
Bachelor of Business majoring in Procurement and Supply Chain Management,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-business-procurement-and-supply-chain-management/dom/
Bachelor of Business majoring in Project Management,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-business-project-management/dom/
Bachelor of Business majoring in Real Estate,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-business-real-estate/dom/
Bachelor of Business majoring in Sport Management,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-business-sport-management/dom/
"Bachelor of Business majoring in Tourism, Events and Hospitality Management",70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-business-tourism-events-and-hospitality-management/dom/
Bachelor of Commerce majoring in Accounting,80.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-commerce-accounting/dom/
Bachelor of Commerce majoring in Banking and Finance,80.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-commerce-banking-and-finance/dom/
Bachelor of Commerce majoring in Business Analytics,80.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-commerce-business-analytics/dom/
