Degree Name,Guaranteed ATAR score,Prerequisite,Assumed knowledge,Mode,Campus,Study as,Duration,Start date,Degree URL
Bachelor of Engineering (Chemical) (Honours),80.0,SACE Stage 2 Mathematical Methods (or equivalent),None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-engineering-chemical-honours/dom/
Bachelor of Engineering (Chemical) (Honours) majoring in Energy Resources Engineering,80.0,SACE Stage 2 Mathematical Methods (or equivalent),None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-engineering-chemical-honours-energy-resources-engineering/dom/
Bachelor of Engineering (Civil) (Honours),80.0,SACE Stage 2 Mathematical Methods (or equivalent),None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-engineering-civil-honours/dom/
Bachelor of Engineering (Civil) (Honours) majoring in Construction Engineering,80.0,SACE Stage 2 Mathematical Methods (or equivalent),None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-engineering-civil-honours-construction-engineering/dom/
Bachelor of Engineering (Civil) (Honours) majoring in Energy Resources Engineering,80.0,SACE Stage 2 Mathematical Methods (or equivalent),None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-engineering-civil-honours-energy-resources-engineering/dom/
Bachelor of Engineering (Civil) (Honours) majoring in Mining Engineering,80.0,SACE Stage 2 Mathematical Methods (or equivalent),None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-engineering-civil-honours-mining-engineering/dom/
Bachelor of Engineering (Civil) (Honours) majoring in Structural Engineering,80.0,SACE Stage 2 Mathematical Methods (or equivalent),None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-engineering-civil-honours-structural-engineering/dom/
Bachelor of Engineering (Electrical and Electronic) (Honours),80.0,SACE Stage 2 Mathematical Methods (or equivalent),None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-engineering-electrical-and-electronic-honours/dom/
Bachelor of Engineering (Electrical and Electronic) (Honours) majoring in Mechatronics and Robotics,80.0,SACE Stage 2 Mathematical Methods (or equivalent),None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-engineering-electrical-and-electronic-honours-mechatronics-and-robotics/dom/
Bachelor of Engineering (Environmental) (Honours),80.0,SACE Stage 2 Mathematical Methods (or equivalent).,None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-engineering-environmental-honours/dom/
Bachelor of Engineering (Honours) (Flexible Entry),80.0,None,None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-engineering-honours-flexible-entry/dom/
Bachelor of Engineering (Mechanical) (Honours),80.0,SACE Stage 2 Mathematical Methods (or equivalent),None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-engineering-mechanical-honours/dom/
