Degree Name,Guaranteed ATAR score,Prerequisite,Assumed knowledge,Mode,Campus,Study as,Duration,Start date,Degree URL
Bachelor of Biomedical and Health Sciences,80.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-biomedical-and-health-sciences/dom/
Bachelor of Biomedical and Health Sciences majoring in Biochemistry,80.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-biomedical-and-health-sciences-biochemistry/dom/
Bachelor of Biomedical and Health Sciences majoring in Clinical Trials,80.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-biomedical-and-health-sciences-clinical-trials/dom/
Bachelor of Biomedical and Health Sciences majoring in Genetics,80.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-biomedical-and-health-sciences-genetics/dom/
Bachelor of Biomedical and Health Sciences majoring in Medical Science,80.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-biomedical-and-health-sciences-medical-science/dom/
Bachelor of Biomedical and Health Sciences majoring in Microbiology and Immunology,80.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-biomedical-and-health-sciences-microbiology-and-immunology/dom/
Bachelor of Biomedical and Health Sciences majoring in Neuroscience,80.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-biomedical-and-health-sciences-neuroscience/dom/
Bachelor of Biomedical and Health Sciences majoring in Public Health,80.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-biomedical-and-health-sciences-public-health/dom/
Bachelor of Biomedical and Health Sciences majoring in Reproductive and Childhood Health,80.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-biomedical-and-health-sciences-reproductive-and-childhood-health/dom/
Bachelor of Clinical Exercise Physiology (Honours),90.0,None,None,On Campus,Adelaide City,Full time or part time,4 year(s) full-time,February,https://adelaideuni.edu.au/study/degrees/bachelor-of-clinical-exercise-physiology-honours/dom/
Bachelor of Community Health,,None,None,100% Online,,Full time or part time,3 year(s) full-time,"January, April, June, September",https://adelaideuni.edu.au/study/degrees/online/bachelor-of-community-health/dom/
Bachelor of Health Science,,None,None,100% Online,,Full time or part time,3 year(s) full-time,"January, April, June, September",https://adelaideuni.edu.au/study/degrees/online/bachelor-of-health-science/dom/
Bachelor of Health Science (Healthy Ageing),,None,None,100% Online,,Full time or part time,3 year(s) full-time,"January, April, June, September",https://adelaideuni.edu.au/study/degrees/online/bachelor-of-health-science-healthy-ageing/dom/
Bachelor of Health Science (Nutrition and Exercise),,None,None,100% Online,,Full time or part time,3 year(s) full-time,"January, April, June, September",https://adelaideuni.edu.au/study/degrees/online/bachelor-of-health-science-nutrition-and-exercise/dom/
Bachelor of Health Service Management,,None,None,100% Online,,Full time or part time,3 year(s) full-time,"January, March, May, July, August, October",https://adelaideuni.edu.au/study/degrees/online/bachelor-of-health-service-management/dom/
