Degree Name,Prerequisite,Assumed knowledge,Mode,Campus,Study as,Duration,Start date,Degree URL
Bachelor of Music (Honours) majoring in Classical Performance,None,None,On Campus,Adelaide City,Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-music-honours-classical-performance/dom/
Bachelor of Music (Honours) majoring in Creative Practice,None,None,On Campus,Adelaide City,Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-music-honours-creative-practice/dom/
Bachelor of Music (Honours) majoring in Jazz Performance,None,None,On Campus,Adelaide City,Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-music-honours-jazz-performance/dom/
Bachelor of Music (Honours) majoring in Music Education,None,None,On Campus,Adelaide City,Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-music-honours-music-education/dom/
Bachelor of Music (Honours) majoring in Musicology,None,None,On Campus,Adelaide City,Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-music-honours-musicology/dom/
Bachelor of Music Theatre,None,None,On Campus,Adelaide City,Full-time only (no part time option),3 year(s) full-time only (no part time option),February,https://adelaideuni.edu.au/study/degrees/bachelor-of-music-theatre/dom/
Bachelor of Music majoring in Classical Performance,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-music-classical-performance/dom/
Bachelor of Music majoring in Creative Practice,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-music-creative-practice/dom/
Bachelor of Music majoring in Jazz Performance,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-music-jazz-performance/dom/
Bachelor of Music majoring in Music Education,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-music-music-education/dom/
