Degree Name,Guaranteed ATAR score,Prerequisite,Assumed knowledge,Mode,Campus,Study as,Duration,Start date,Degree URL
Bachelor of Arts majoring in Environmental Management,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-arts-environmental-management/dom/
Bachelor of Biomedical and Health Sciences,80.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-biomedical-and-health-sciences/dom/
Bachelor of Biomedical and Health Sciences majoring in Biochemistry,80.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-biomedical-and-health-sciences-biochemistry/dom/
Bachelor of Biomedical and Health Sciences majoring in Clinical Trials,80.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-biomedical-and-health-sciences-clinical-trials/dom/
Bachelor of Biomedical and Health Sciences majoring in Genetics,80.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-biomedical-and-health-sciences-genetics/dom/
Bachelor of Biomedical and Health Sciences majoring in Microbiology and Immunology,80.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-biomedical-and-health-sciences-microbiology-and-immunology/dom/
Bachelor of Biomedical and Health Sciences majoring in Neuroscience,80.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-biomedical-and-health-sciences-neuroscience/dom/
Bachelor of Biomedical and Health Sciences majoring in Public Health,80.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-biomedical-and-health-sciences-public-health/dom/
Bachelor of Biomedical and Health Sciences majoring in Reproductive and Childhood Health,80.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-biomedical-and-health-sciences-reproductive-and-childhood-health/dom/
Bachelor of Engineering (Chemical) (Honours),80.0,SACE Stage 2 Mathematical Methods (or equivalent),None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-engineering-chemical-honours/dom/
Bachelor of Engineering (Chemical) (Honours) majoring in Energy Resources Engineering,80.0,SACE Stage 2 Mathematical Methods (or equivalent),None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-engineering-chemical-honours-energy-resources-engineering/dom/
Bachelor of Engineering (Civil) (Honours) majoring in Energy Resources Engineering,80.0,SACE Stage 2 Mathematical Methods (or equivalent),None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-engineering-civil-honours-energy-resources-engineering/dom/
Bachelor of Engineering (Environmental) (Honours),80.0,SACE Stage 2 Mathematical Methods (or equivalent).,None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-engineering-environmental-honours/dom/
Bachelor of Engineering (Mechanical) (Honours) majoring in Energy Resources Engineering,80.0,SACE Stage 2 Mathematical Methods (or equivalent),None,On Campus,"Adelaide City, Mawson Lakes",Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-engineering-mechanical-honours-energy-resources-engineering/dom/
Bachelor of Food and Nutrition Science (Honours),80.0,None,"SACE Stage 2: Chemistry and Mathematical Methods, OR IB Chemistry AND IB Mathematics: Applications and Interpretations (HL) or IB Mathematics: Analysis and Approaches (SL)",On Campus,"Adelaide City, Waite",Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-food-and-nutrition-science-honours/dom/
Bachelor of International Relations majoring in Environmental Management,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-international-relations-environmental-management/dom/
"Bachelor of Laws (Honours), Bachelor of Sustainability and Climate Change",,None,None,On Campus,"Adelaide City, Magill",Full time or part time,5 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-laws-honours-bachelor-of-sustainability-and-climate-change/dom/
Bachelor of Outdoor and Environmental Leadership,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-outdoor-environment-leadership/dom/
Bachelor of Science,70.0,None,None,On Campus,"Adelaide City, Mawson Lakes, Roseworthy, Waite",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science/dom/
Bachelor of Science (Honours),80.0,None,None,On Campus,"Adelaide City, Mawson Lakes, Roseworthy, Waite",Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science-honours/dom/
Bachelor of Science (Veterinary Bioscience),,Any one of SACE Stage 2 Biology or Chemistry or Mathematical Methods (or equivalent),High proficiency in written and spoken English,On Campus,"Adelaide City, Roseworthy",Full-time only (no part time option),3 year(s) full-time only (no part time option),February,https://adelaideuni.edu.au/study/degrees/bachelor-of-science-veterinary-bioscience/dom/
Bachelor of Science majoring in Analytical Chemistry,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science-analytical-chemistry/dom/
Bachelor of Science majoring in Animal Behaviour,70.0,None,None,On Campus,"Roseworthy, Adelaide City",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science-animal-behaviour/dom/
Bachelor of Science majoring in Animal Science,70.0,None,None,On Campus,"Roseworthy, Adelaide City",Full time or part time,3 year(s) full-time,February,https://adelaideuni.edu.au/study/degrees/bachelor-of-science-animal-science/dom/
Bachelor of Science majoring in Biochemistry,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science-biochemistry/dom/
Bachelor of Science majoring in Biotechnology,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science-biotechnology/dom/
Bachelor of Science majoring in Chemistry,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science-chemistry/dom/
Bachelor of Science majoring in Computational Physics,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,February,https://adelaideuni.edu.au/study/degrees/bachelor-of-science-computational-physics/dom/
Bachelor of Science majoring in Ecology,70.0,None,None,On Campus,"Adelaide City, Waite",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science-ecology/dom/
Bachelor of Science majoring in Environmental Science,70.0,None,None,On Campus,"Adelaide City, Mawson Lakes, Waite",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science-environmental-science/dom/
