,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2023-10-24,,PHO,L,104,108,,36,101,.356,10,43,.233,26,58,.448,.406,22,28,.786,18,31,49,19,11,6,11,23,42,95,.442,11,33,.333,31,62,.500,.500,13,17,.765,17,43,60,23,5,7,19,22
2,2,2023-10-27,@,SAC,W,122,114,,48,87,.552,14,32,.438,34,55,.618,.632,12,14,.857,7,32,39,32,14,3,19,24,41,94,.436,12,40,.300,29,54,.537,.500,20,29,.690,10,31,41,24,10,3,14,16
3,3,2023-10-29,@,HOU,W,106,95,,35,81,.432,18,45,.400,17,36,.472,.543,18,23,.783,8,41,49,27,6,6,14,18,34,90,.378,9,33,.273,25,57,.439,.428,18,19,.947,10,32,42,22,7,4,7,20
4,4,2023-10-30,@,NOP,W,130,102,,51,98,.520,15,41,.366,36,57,.632,.597,13,20,.650,21,43,64,28,6,7,15,21,38,93,.409,10,39,.256,28,54,.519,.462,16,26,.615,14,25,39,23,8,3,11,18
5,5,2023-11-01,,SAC,W,102,101,,39,81,.481,11,31,.355,28,50,.560,.549,13,15,.867,7,29,36,32,5,6,18,17,36,88,.409,11,35,.314,25,53,.472,.472,18,23,.783,14,34,48,24,8,4,15,17
6,6,2023-11-03,@,OKC,W,141,139,,49,92,.533,18,40,.450,31,52,.596,.630,25,30,.833,13,25,38,36,9,2,15,25,50,83,.602,15,29,.517,35,54,.648,.693,24,30,.800,7,25,32,26,3,1,19,20
7,7,2023-11-05,@,CLE,L,104,115,,34,94,.362,16,41,.390,18,53,.340,.447,20,30,.667,17,27,44,26,10,4,13,18,41,83,.494,11,37,.297,30,46,.652,.560,22,28,.786,13,41,54,26,8,2,18,21
8,8,2023-11-06,@,DET,W,120,109,,46,97,.474,12,41,.293,34,56,.607,.536,16,21,.762,17,27,44,26,8,4,11,14,38,80,.475,13,30,.433,25,50,.500,.556,20,21,.952,7,32,39,23,8,2,16,20
9,9,2023-11-08,@,DEN,L,105,108,,37,86,.430,11,35,.314,26,51,.510,.494,20,26,.769,11,38,49,21,5,0,9,20,41,92,.446,11,35,.314,30,57,.526,.505,15,22,.682,10,35,45,24,7,4,6,20
10,10,2023-11-11,,CLE,L,110,118,,37,90,.411,13,38,.342,24,52,.462,.483,23,30,.767,15,40,55,26,5,3,20,29,37,86,.430,11,30,.367,26,56,.464,.494,33,43,.767,11,34,45,23,13,3,11,24
11,11,2023-11-12,,MIN,L,110,116,,37,96,.385,12,43,.279,25,53,.472,.448,24,28,.857,19,32,51,24,9,0,14,28,43,82,.524,9,27,.333,34,55,.618,.579,21,30,.700,9,38,47,27,8,6,14,19
12,12,2023-11-14,,MIN,L,101,104,,37,88,.420,13,39,.333,24,49,.490,.494,14,16,.875,13,33,46,28,11,2,20,22,36,81,.444,14,34,.412,22,47,.468,.531,18,21,.857,9,33,42,24,9,5,20,19
13,13,2023-11-16,,OKC,L,109,128,,40,98,.408,14,41,.341,26,57,.456,.480,15,19,.789,20,29,49,27,5,4,16,19,44,87,.506,19,32,.594,25,55,.455,.615,21,23,.913,7,35,42,31,10,3,13,20
14,14,2023-11-18,,OKC,L,123,130,OT,44,97,.454,18,46,.391,26,51,.510,.546,17,21,.810,14,35,49,33,6,4,16,18,52,100,.520,8,23,.348,44,77,.571,.560,18,20,.900,9,38,47,26,8,7,12,16
15,15,2023-11-20,,HOU,W,121,116,,36,77,.468,21,43,.488,15,34,.441,.604,28,33,.848,8,35,43,26,3,1,8,21,44,95,.463,13,41,.317,31,54,.574,.532,15,19,.789,15,33,48,28,6,3,8,24
16,16,2023-11-22,@,PHO,L,115,123,,43,90,.478,10,32,.313,33,58,.569,.533,19,29,.655,11,32,43,29,10,3,16,34,34,76,.447,11,28,.393,23,48,.479,.520,44,52,.846,11,32,43,22,9,8,15,22
17,17,2023-11-24,,SAS,W,118,112,,40,81,.494,19,42,.452,21,39,.538,.611,19,24,.792,7,34,41,35,7,2,24,21,45,100,.450,12,47,.255,33,53,.623,.510,10,12,.833,15,31,46,28,10,3,20,18
18,18,2023-11-28,@,SAC,L,123,124,,40,83,.482,17,41,.415,23,42,.548,.584,26,30,.867,9,43,52,25,6,6,20,31,41,91,.451,15,44,.341,26,47,.553,.533,27,42,.643,12,34,46,25,8,7,10,23
19,19,2023-11-30,,LAC,W,120,114,,41,82,.500,15,39,.385,26,43,.605,.591,23,31,.742,10,37,47,30,3,4,9,18,42,95,.442,12,32,.375,30,63,.476,.505,18,24,.750,15,28,43,26,5,1,6,21
20,20,2023-12-02,@,LAC,L,112,113,,38,86,.442,17,43,.395,21,43,.488,.541,19,24,.792,6,36,42,31,5,4,15,15,44,90,.489,13,39,.333,31,51,.608,.561,12,14,.857,5,35,40,31,5,6,11,21
21,21,2023-12-06,,POR,W,110,106,,36,86,.419,10,34,.294,26,52,.500,.477,28,33,.848,15,35,50,20,4,3,17,19,39,95,.411,16,46,.348,23,49,.469,.495,12,16,.750,11,29,40,22,8,3,10,30
22,22,2023-12-08,@,OKC,L,136,138,OT,49,104,.471,19,48,.396,30,56,.536,.563,19,23,.826,24,36,60,29,3,2,29,28,51,98,.520,5,29,.172,46,69,.667,.546,31,36,.861,11,28,39,15,17,7,11,22
23,23,2023-12-12,@,PHO,L,116,119,,41,92,.446,16,46,.348,25,46,.543,.533,18,27,.667,13,38,51,26,9,1,15,28,38,84,.452,14,39,.359,24,45,.533,.536,29,34,.853,7,34,41,27,8,7,15,22
24,24,2023-12-14,@,LAC,L,113,121,,40,92,.435,16,45,.356,24,47,.511,.522,17,19,.895,16,27,43,22,8,2,13,24,41,81,.506,13,32,.406,28,49,.571,.586,26,30,.867,10,30,40,27,6,9,14,20
25,25,2023-12-16,,BRK,W,124,120,,44,91,.484,17,32,.531,27,59,.458,.577,19,20,.950,13,29,42,29,7,5,14,15,45,93,.484,17,43,.395,28,50,.560,.575,13,15,.867,14,28,42,31,6,8,16,21
26,26,2023-12-17,@,POR,W,118,114,,46,87,.529,13,38,.342,33,49,.673,.603,13,19,.684,11,32,43,31,10,4,14,20,40,85,.471,13,35,.371,27,50,.540,.547,21,23,.913,9,28,37,23,10,4,14,20
27,27,2023-12-19,,BOS,W,132,126,OT,50,109,.459,20,50,.400,30,59,.508,.550,12,14,.857,18,41,59,29,4,5,10,15,47,114,.412,17,58,.293,30,56,.536,.487,15,17,.882,18,37,55,28,6,5,8,13
28,28,2023-12-22,,WAS,W,129,118,,47,97,.485,18,45,.400,29,52,.558,.577,17,20,.850,14,43,57,33,5,2,12,17,44,97,.454,11,35,.314,33,62,.532,.510,19,24,.792,9,30,39,25,7,4,9,16
29,29,2023-12-23,,POR,W,126,106,,48,83,.578,10,33,.303,38,50,.760,.639,20,24,.833,13,36,49,38,8,2,18,14,38,84,.452,13,35,.371,25,49,.510,.530,17,25,.680,8,22,30,26,13,3,12,20
30,30,2023-12-25,@,DEN,L,114,120,,40,87,.460,14,40,.350,26,47,.553,.540,20,23,.870,9,30,39,23,7,3,13,23,40,82,.488,14,34,.412,26,48,.542,.573,26,32,.813,10,33,43,25,6,4,14,17
31,31,2023-12-28,,MIA,L,102,114,,37,88,.420,8,33,.242,29,55,.527,.466,20,25,.800,12,31,43,27,4,7,13,19,44,91,.484,10,31,.323,34,60,.567,.538,16,22,.727,10,34,44,26,6,1,10,19
32,32,2023-12-30,,DAL,L,122,132,,47,103,.456,19,48,.396,28,55,.509,.549,9,13,.692,16,31,47,32,8,3,11,21,49,88,.557,16,40,.400,33,48,.688,.648,18,22,.818,6,37,43,25,5,2,9,14
33,33,2024-01-02,,ORL,W,121,115,,42,78,.538,13,35,.371,29,43,.674,.622,24,37,.649,9,27,36,23,9,6,12,19,41,92,.446,14,36,.389,27,56,.482,.522,19,23,.826,16,25,41,19,8,4,18,24
34,34,2024-01-04,,DEN,L,127,130,,49,90,.544,15,36,.417,34,54,.630,.628,14,16,.875,9,24,33,35,4,3,10,20,48,85,.565,9,26,.346,39,59,.661,.618,25,29,.862,11,25,36,28,7,4,9,15
35,35,2024-01-05,,DET,W,113,109,,38,82,.463,16,38,.421,22,44,.500,.561,21,25,.840,7,38,45,24,3,5,19,18,44,98,.449,13,44,.295,31,54,.574,.515,8,10,.800,10,30,40,25,8,9,11,23
36,36,2024-01-07,,TOR,L,118,133,,45,100,.450,14,46,.304,31,54,.574,.520,14,15,.933,15,28,43,30,5,4,11,11,55,94,.585,15,33,.455,40,61,.656,.665,8,14,.571,9,36,45,38,7,6,7,14
37,37,2024-01-10,,NOP,L,105,141,,39,89,.438,12,39,.308,27,50,.540,.506,15,18,.833,14,29,43,24,4,4,17,19,54,94,.574,19,40,.475,35,54,.648,.676,14,19,.737,13,34,47,37,11,7,11,19
38,38,2024-01-12,@,CHI,W,140,131,,49,94,.521,20,47,.426,29,47,.617,.628,22,30,.733,13,31,44,39,7,4,5,16,50,86,.581,18,40,.450,32,46,.696,.686,13,16,.813,6,30,36,31,1,3,12,21
39,39,2024-01-13,@,MIL,L,118,129,,47,98,.480,15,36,.417,32,62,.516,.556,9,14,.643,12,29,41,23,5,4,8,16,51,94,.543,13,31,.419,38,63,.603,.612,14,17,.824,14,36,50,33,6,5,12,15
40,40,2024-01-15,@,MEM,L,107,116,,44,90,.489,10,31,.323,34,59,.576,.544,9,10,.900,7,38,45,28,4,6,19,25,32,86,.372,20,54,.370,12,32,.375,.488,32,40,.800,11,31,42,24,13,10,13,12
41,41,2024-01-24,,ATL,W,134,112,,51,91,.560,16,33,.485,35,58,.603,.648,16,22,.727,11,38,49,26,6,9,10,18,39,94,.415,14,43,.326,25,51,.490,.489,20,26,.769,13,32,45,30,7,2,11,16
42,42,2024-01-25,,SAC,L,133,134,,48,86,.558,19,37,.514,29,49,.592,.669,18,23,.783,6,27,33,30,7,3,13,19,48,91,.527,22,48,.458,26,43,.605,.648,16,19,.842,8,26,34,33,8,5,10,21
43,43,2024-01-27,,LAL,L,144,145,2OT,55,119,.462,23,58,.397,32,61,.525,.559,11,16,.688,11,39,50,37,11,3,17,34,49,101,.485,9,27,.333,40,74,.541,.530,38,43,.884,7,48,55,33,9,5,20,21
44,44,2024-01-30,,PHI,W,119,107,,44,79,.557,14,32,.438,30,47,.638,.646,17,19,.895,8,34,42,32,6,6,18,20,39,85,.459,13,30,.433,26,55,.473,.535,16,21,.762,13,26,39,11,14,2,16,24
45,45,2024-02-02,@,MEM,W,121,101,,46,83,.554,11,29,.379,35,54,.648,.620,18,22,.818,6,40,46,32,7,8,14,17,35,87,.402,14,46,.304,21,41,.512,.483,17,24,.708,9,28,37,30,7,4,14,20
46,46,2024-02-03,@,ATL,L,134,141,OT,50,112,.446,18,56,.321,32,56,.571,.527,16,20,.800,14,43,57,26,4,7,14,23,55,114,.482,14,43,.326,41,71,.577,.544,17,22,.773,16,41,57,27,5,4,8,20
47,47,2024-02-05,@,BRK,W,109,98,,43,93,.462,4,22,.182,39,71,.549,.484,19,23,.826,16,44,60,24,7,8,14,17,34,89,.382,13,42,.310,21,47,.447,.455,17,22,.773,11,27,38,23,7,12,10,23
48,48,2024-02-07,@,PHI,W,127,104,,47,94,.500,16,38,.421,31,56,.554,.585,17,22,.773,12,40,52,30,7,8,13,21,41,98,.418,8,32,.250,33,66,.500,.459,14,14,1.000,11,29,40,21,7,8,15,16
49,49,2024-02-08,@,IND,W,131,109,,52,93,.559,17,32,.531,35,61,.574,.651,10,13,.769,10,39,49,33,7,7,17,22,39,81,.481,12,31,.387,27,50,.540,.556,19,27,.704,7,23,30,31,11,6,14,17
50,50,2024-02-10,,PHO,W,113,112,,45,101,.446,17,41,.415,28,60,.467,.530,6,11,.545,13,39,52,33,6,2,14,20,43,94,.457,11,34,.324,32,60,.533,.516,15,16,.938,9,33,42,28,9,8,14,13
51,51,2024-02-12,@,UTA,W,129,107,,48,100,.480,20,44,.455,28,56,.500,.580,13,17,.765,12,39,51,31,8,4,13,13,41,92,.446,11,32,.344,30,60,.500,.505,14,16,.875,9,35,44,23,8,7,18,17
52,52,2024-02-14,,LAC,L,125,130,,47,103,.456,18,47,.383,29,56,.518,.544,13,18,.722,13,34,47,34,7,2,9,25,44,88,.500,13,38,.342,31,50,.620,.574,29,37,.784,12,36,48,28,6,4,12,21
53,53,2024-02-15,@,UTA,W,140,137,,49,92,.533,20,42,.476,29,50,.580,.641,22,28,.786,13,28,41,42,8,6,13,19,43,93,.462,22,49,.449,21,44,.477,.581,29,32,.906,17,31,48,33,10,3,16,22
54,54,2024-02-22,,LAL,W,128,110,,50,107,.467,16,41,.390,34,66,.515,.542,12,14,.857,15,33,48,32,6,4,9,19,43,88,.489,10,35,.286,33,53,.623,.545,14,21,.667,10,31,41,28,5,9,11,18
55,55,2024-02-23,,CHO,W,97,84,,38,89,.427,13,42,.310,25,47,.532,.500,8,10,.800,13,40,53,28,7,7,22,15,32,88,.364,11,39,.282,21,49,.429,.426,9,11,.818,13,30,43,21,13,6,19,15
56,56,2024-02-25,,DEN,L,103,119,,35,81,.432,11,34,.324,24,47,.511,.500,22,29,.759,11,31,42,27,5,3,17,18,43,88,.489,11,32,.344,32,56,.571,.551,22,26,.846,12,33,45,29,10,5,10,20
57,57,2024-02-27,@,WAS,W,123,112,,47,94,.500,21,46,.457,26,48,.542,.612,8,11,.727,9,35,44,39,12,6,19,11,46,93,.495,12,35,.343,34,58,.586,.559,8,10,.800,11,30,41,34,5,5,21,12
58,58,2024-02-29,@,NYK,W,110,99,,44,98,.449,14,44,.318,30,54,.556,.520,8,16,.500,16,37,53,26,8,5,11,19,35,95,.368,12,39,.308,23,56,.411,.432,17,24,.708,17,39,56,23,7,3,13,15
59,59,2024-03-01,@,TOR,W,120,105,,44,98,.449,18,44,.409,26,54,.481,.541,14,18,.778,15,41,56,26,10,5,14,14,41,95,.432,12,45,.267,29,50,.580,.495,11,17,.647,11,36,47,31,9,2,14,14
60,60,2024-03-03,@,BOS,L,88,140,,36,92,.391,7,41,.171,29,51,.569,.429,9,13,.692,12,34,46,24,2,3,17,13,53,96,.552,25,49,.510,28,47,.596,.682,9,11,.818,7,44,51,35,10,5,8,19
